dataset,split,serve_type,outcome,predictor,n,coefficient,p_value,correlation
us_men,random,first,eff,ace_rate,86,0.0934672647832384,1.44591559199899e-5,0.262305053551467
us_men,random,first,eff,first_serve_in_pct,86,-6.7056118605939e-4,0.975754076796825,0.0892641178501435
us_men,random,first,eff,first_serve_points_won,86,0.0267027234661662,0.25956392959846,0.0978603896529948
us_men,random,first,eff,fixed_effects_only,86,0.100311438572816,1.92534407508041e-6,0.262580057263161
us_men,random,first,eff,random_effects_only,86,0.0806256436831787,1.5636682763095e-4,0.260732723655875
us_men,random,first,eff,sqs,86,0.0982567702627604,8.94649258227278e-6,0.28305338602503
us_men,random,first,eff,unreturned_rate,86,0.02630127173711,0.274369023496114,0.0762095838245601
us_men,random,first,eff,welo,86,-0.0739344701511753,0.00035243078181462003,-0.245211589465922
us_men,random,first,win,ace_rate,86,0.0636454974743285,0.00400423439716437,0.161671813771148
us_men,random,first,win,first_serve_in_pct,86,0.0496305319467669,0.0280978978816052,0.268927504875579
us_men,random,first,win,first_serve_points_won,86,0.0992536912939731,4.16913251912102e-5,0.252331488428936
us_men,random,first,win,fixed_effects_only,86,0.0746715790038991,5.1440827757063e-4,0.196296322842812
us_men,random,first,win,random_effects_only,86,0.0315417785927501,0.147321290813873,0.0750565291579884
us_men,random,first,win,sqs,86,0.0614704498019455,0.00641879484321366,0.164001830345911
us_men,random,first,win,unreturned_rate,86,-0.0310945616437454,0.205108704208946,-0.118314590985198
us_men,random,first,win,welo,86,0.0440403307583916,0.0376243791091516,0.0112622051401962
us_men,random,second,eff,ace_rate,82,-0.0300204458613428,0.360038671775506,-0.0162960309478399
us_men,random,second,eff,first_serve_in_pct,82,-0.0293581079635942,0.343213208889144,-0.10415829786938299
us_men,random,second,eff,first_serve_points_won,82,-0.185749017056529,2.67136033616651e-8,-0.222099781510302
us_men,random,second,eff,fixed_effects_only,82,-0.0681952603679016,0.0235669446590792,-0.165721005481831
us_men,random,second,eff,random_effects_only,82,0.0534529005442148,0.0709224830703135,0.00856802176111009
us_men,random,second,eff,sqs,82,0.00852623951637369,0.781826094115652,-0.0814987068299703
us_men,random,second,eff,unreturned_rate,82,0.0118998374613217,0.727558910908736,-0.0595805292981871
us_men,random,second,eff,welo,82,-0.15407307118917,3.90324096358102e-7,-0.320918285349004
us_men,random,second,win,ace_rate,82,-0.00789650621687917,0.787850507027052,-0.0106095177172289
us_men,random,second,win,first_serve_in_pct,82,-0.0187481263451225,0.502217114639822,-0.0891353756179349
us_men,random,second,win,first_serve_points_won,82,-0.0338818994168606,0.263798370749669,-0.103558532804765
us_men,random,second,win,fixed_effects_only,82,-0.0391748319841042,0.147983299727807,-0.202856775545005
us_men,random,second,win,random_effects_only,82,-0.015818179516509,0.554594954194321,-0.0521549728014812
us_men,random,second,win,sqs,82,-0.0359666410464,0.195855646392189,-0.139186246894124
us_men,random,second,win,unreturned_rate,82,-0.0789574050721414,0.0117970695986003,-0.240540098616106
us_men,random,second,win,welo,82,0.0704556964549348,0.00912724973033006,0.167709565260478
us_women,random,first,eff,ace_rate,92,0.144746196438307,1.52786203963896e-6,0.236708078060777
us_women,random,first,eff,first_serve_in_pct,92,-0.0859752420116226,8.2553943790841e-4,-0.145050978025633
us_women,random,first,eff,first_serve_points_won,92,0.0837208216893088,0.00316989620599595,0.116262243502031
us_women,random,first,eff,fixed_effects_only,92,0.142561526931896,5.11850748693026e-8,0.291576631678378
us_women,random,first,eff,random_effects_only,92,0.0629738745438463,0.0160636104421427,0.102344646242054
us_women,random,first,eff,sqs,92,0.12323014600172,2.37395125264673e-6,0.242785162740599
us_women,random,first,eff,unreturned_rate,92,0.0740189126969138,0.012610606059214,0.109646275956948
us_women,random,first,eff,welo,92,0.00422595796104566,0.866497343561962,-0.0701804871989188
us_women,random,first,win,ace_rate,92,0.0589725615209005,0.0521750671467061,0.0749861879838677
us_women,random,first,win,first_serve_in_pct,92,4.9401968084632e-4,0.984606994606278,0.0797805788630628
