"ServerName","SQS_logodds","SE_SQS","CI_low","CI_high","MeasuredSkill","UnmeasuredCraft"
"John Isner",0.376400805595382,0.0942849237803069,0.191605750700877,0.561195860489888,0.116882450077574,0.259518355517809
"Bradley Klahn",0.307041826641185,0.142182056976664,0.0283701157191018,0.585713537563269,0.140407606578677,0.166634220062508
"Milos Raonic",0.265443558064942,0.127801796226515,0.0149566403014452,0.515930475828439,0.177144790162647,0.0882987679022949
"Gianluca Mager",0.251935004211382,0.14018778063511,-0.0228279969060355,0.526698005328801,0.0463161510259449,0.205618853185438
"Arthur Rinderknech",0.25066811376206,0.0912010772719374,0.0719172869578084,0.429418940566312,-0.000799745241571904,0.251467859003632
"Kevin Anderson",0.249777209254894,0.107327184085273,0.0394197938856583,0.460134624624131,0.127547494722846,0.122229714532048
"Jiri Vesely",0.237689105210784,0.130517415729518,-0.0181203289743141,0.493498539395881,0.0824846679358497,0.155204437274934
"Thanasi Kokkinakis",0.198858344819144,0.12606676121915,-0.0482279668179998,0.445944656456289,0.0432173304591935,0.155641014359951
"Jack Draper",0.198206653739526,0.0940794032273523,0.0138144117268938,0.382598895752157,0.0142950306138916,0.183911623125634
"Nick Kyrgios",0.196342897114601,0.0972143126762486,0.00580634548733841,0.386879448741864,0.12904436038703,0.067298536727571
"Stefanos Tsitsipas",0.194901208023181,0.10766800844632,-0.0161242108187608,0.405926626865122,0.0644869164806912,0.13041429154249
"Alexei Popyrin",0.191009956258596,0.103847760594367,-0.0125279143815008,0.394547826898692,-0.044193724574788,0.235203680833384
"Vasek Pospisil",0.18542809260166,0.129793898807826,-0.0689632744747144,0.439819459678035,0.0325602808529672,0.152867811748693
"Roger Federer",0.17388336834971,0.0977370096589532,-0.0176776505384819,0.365444387237901,0.0512639038285427,0.122619464521167
"Sam Querrey",0.162348327675532,0.141777309310556,-0.115530092398153,0.440226747749218,0.0992473498792027,0.0631009777963297
"Feliciano Lopez",0.16119034317994,0.126480583764256,-0.0867070457416024,0.409087732101482,0.0863868435853897,0.0748034995945502
"Reilly Opelka",0.161045628941732,0.116408101912653,-0.0671100583157351,0.389201316199199,0.0230275316267145,0.138018097315018
"Mattia Bellucci",0.153215366759145,0.143722741325183,-0.128476029997579,0.43490676351587,-0.064076573121092,0.217291939880237
"Benoit Paire",0.148868886042928,0.123368363395515,-0.0929286630439306,0.390666435129787,-0.0858286239770252,0.234697510019954
"Taylor Fritz",0.142452356221606,0.0815630691505859,-0.0174083217820925,0.302313034225304,0.0588898672517862,0.0835624889698195
"Hamad Medjedovic",0.138259947925744,0.140122284694657,-0.136374683507251,0.412894579358739,-0.0117720471391697,0.150031995064914
"Denis Kudla",0.135699873390218,0.119865968245461,-0.0992331073429079,0.370632854123344,-0.0253763535400732,0.161076226930291
"Carlos Taberner",0.133875926676201,0.137259979661358,-0.135148689978761,0.402900543331162,0.0512555299731648,0.0826203967030359
"Filip Krajinovic",0.118077557362214,0.128256673856795,-0.133300904174005,0.369456018898432,-0.0497567006094192,0.167834257971633
"Alejandro Tabilo",0.11746208343698,0.149319710699424,-0.175199171715831,0.410123338589791,-0.107398616914915,0.224860700351895
"Andrey Rublev",0.113658600674911,0.0771237673573465,-0.0375012056975338,0.264818407047356,-0.0126344876717342,0.126293088346645
"Lloyd Harris",0.112912106806704,0.0975120686360691,-0.0782080357779892,0.304032249391397,0.0508899746669497,0.0620221321397542
"Matteo Berrettini",0.108112312518366,0.0857216390639941,-0.0598990127428043,0.276123637779536,0.0946950746980385,0.0134172378203274
"Stan Wawrinka",0.0921553069382542,0.0894193383109477,-0.0831033756726059,0.267413989549114,0.0838370092523266,0.00831829768592762
"Marius Copil",0.0920407548791123,0.149487591940268,-0.200949541459433,0.385031051217657,0.0279813587159568,0.0640593961631555
"Hubert Hurkacz",0.0874589518985844,0.110189601234921,-0.128508697992692,0.303426601789861,0.00796990617237675,0.0794890457262077
